SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
0.07093200000000001,0.06421199999999999,0.069387,0.031663000000000004,0.037505000000000004,0.021333
0.071172,0.075019,0.095883,0.069988,0.075607,0.101408
0.067735,0.051502,0.073408,0.017707999999999998,0.015365,0.016439
0.013129,0.000742,-0.0057150000000000005,-0.010953,-0.00835,-0.020083000000000004
0.049418,0.051224,0.073548,0.052535,0.0559,0.05946799999999999
0.08994999999999999,0.075046,0.093109,0.02129,0.034738000000000005,0.046706000000000004
-0.008456,-0.0047799999999999995,-0.018893,-0.00524,-0.009164,-0.008204
-0.20828600000000003,-0.180691,-0.219357,-0.107968,-0.096879,-0.09449500000000001
0.048052000000000004,0.053817000000000004,0.07748300000000001,0.035348000000000004,0.031154,0.028569
0.022227,0.021112000000000002,0.027364000000000003,-0.005579,0.009633000000000001,0.029476
0.098215,0.075812,0.086706,0.073513,0.043116,0.035686
-0.015655,-0.020721,-0.038436,-0.031993,-0.028488000000000003,-0.031632
0.09560700000000001,0.08538899999999999,0.10523300000000001,0.06314199999999999,0.053453,0.064157
0.031755,0.023317,0.024636,-0.017245999999999997,0.0051270000000000005,0.011453999999999999
-0.00128,-0.017144,-0.019864,-0.006091,-0.01607,-0.018228
0.063237,0.059814,0.050592,0.059888000000000004,0.042918000000000005,0.039425
0.022269,0.035507,0.031157,0.021788,0.017624,0.007093
0.077268,0.072627,0.091526,0.044635,0.065676,0.062755
-0.00493,-0.004684,-0.00082,-0.010338,-0.00185,0.005723000000000001
-0.10405900000000001,-0.10149599999999999,-0.101707,-0.078989,-0.067042,-0.061148999999999995
0.089671,0.069144,0.098612,0.063585,0.056491,0.055896
0.078525,0.056437,0.065066,0.020385,0.021587000000000002,0.019932000000000002
0.10908,0.069163,0.071767,0.061047000000000004,0.053766999999999995,0.064366
-0.004835,-0.026796,-0.018784000000000002,-0.008753,-0.010898000000000001,0.005938
-0.19719,-0.161861,-0.17754999999999999,-0.11731,-0.09273899999999999,-0.107692
0.06989899999999999,0.060213,0.056736,0.067785,0.050053,0.038978
0.073836,0.079674,0.085422,0.059282,0.058242,0.054560000000000004
0.045266,0.044959,0.047492,0.039563,0.025356,0.034387
0.08896000000000001,0.091625,0.131301,0.041272,0.063207,0.080108
0.049567,0.058473,0.07308500000000001,-0.00047,0.024731,0.017266999999999998
0.029987,0.024575,0.051281,0.017301,0.029189,0.034133
0.043572,0.036361,0.043205,-0.001426,0.012186999999999998,0.032029999999999996
0.076597,0.06097,0.089193,0.04934,0.12190799999999999,0.126692
-0.045883,-0.01655,-0.0377,-0.007516,-0.026227999999999998,-0.041426
-0.00889,0.00073,-0.020746,-0.004769,-0.042834000000000004,-0.063207
0.008123,0.016367,0.009721,0.010501,0.030289,0.013117
0.070945,0.071851,0.088106,0.08484,0.04054700000000001,0.022889
0.018236000000000002,0.025785,0.048184,-0.01146,-0.010631,-0.024851
0.028029000000000002,0.028997000000000002,0.047682,0.018035000000000002,0.005516,0.0044069999999999995
-0.017742,-0.005225,-0.032578,0.006421,-0.012095,-0.006134
-0.018542,-0.020280999999999997,-0.030966,-0.020074,-0.007128,0.017519
-0.081051,-0.060156,-0.087093,-0.05977299999999999,-0.050542,-0.060179
-0.098979,-0.066984,-0.07755,-0.046483,-0.044673,-0.066229
0.075807,0.070687,0.098664,0.029500000000000002,0.058339,0.06954500000000001
0.011406000000000001,0.042695,0.030992000000000002,0.061362,0.040568,0.043469
